scenario,year,total,japanese,foreign,male,female,under15,working_age_15_64,age65plus,foreign_share,age65plus_share
both_inflows_zero,2053,5848234.154148266,5711020.683073897,137213.47107436848,2617542.990177174,3230691.1639710907,264902.81856069656,2202395.0082598515,3380936.327327717,0.02346237641272286,0.5781123392485155
both_inflows_zero,2054,5638979.241462632,5508334.489727646,130644.75173498609,2511717.057448767,3127262.1840138654,250357.68307838388,2055580.91789731,3333040.640486938,0.023168156175212236,0.5910716279959948
both_inflows_zero,2055,5434280.702727464,5309910.651050768,124370.05167669685,2408451.719711617,3025828.983015848,237266.27187768402,1915291.5113398407,3281722.9195099403,0.02288620306534323,0.6038927871103243
both_inflows_zero,2056,5233915.706088313,5115551.462989546,118364.24309876651,2307693.774687366,2926221.9314009463,225373.87235716797,1781467.0140402748,3227074.8196908706,0.022614854679657948,0.6165698878063703
both_inflows_zero,2057,5037701.376760455,4925095.899995789,112605.47676466638,2209407.69817513,2828293.6785853244,214458.98018314378,1651969.8153512916,3171272.5812260187,0.022352550963844243,0.6295078536920617
both_inflows_zero,2058,4845588.6230744645,4738520.382532692,107068.24054177346,2113551.6898350855,2732036.9332393794,204308.0907133019,1531159.811910637,3110120.720450526,0.02209602359389725,0.6418458029309954
both_inflows_zero,2059,4657187.462607146,4555446.853014445,101740.60959270044,2020090.5674042325,2637096.895202914,194772.43752612706,1418553.1617562629,3043861.8633247567,0.02184593392677066,0.6535837107189945
both_inflows_zero,2060,4472429.3017712915,4375821.299558905,96608.0022123866,1929021.167079191,2543408.1346921003,185723.52111095653,1313678.2775967687,2973027.503063566,0.021600789122396033,0.6647455560417932
both_inflows_zero,2061,4291284.365695264,4199625.682455126,91658.68324013866,1840354.9268718348,2450929.4388234294,177049.17437995484,1216090.550420805,2898144.640894505,0.02135926576501493,0.6753559992580344
both_inflows_zero,2062,4113756.133857485,4026873.021030818,86883.11282666681,1754113.305591825,2359642.8282656604,168652.52954104482,1123476.2709977457,2821627.333318695,0.021120141787596965,0.6859004864425068
both_inflows_zero,2063,3939896.288978264,3857630.198556289,82266.09042197552,1670314.4276679952,2269581.86131027,160467.92979311218,1039398.1800110785,2740030.179174074,0.020880268004036633,0.6954574380140975
both_inflows_zero,2064,3769763.0966112944,3691955.566195564,77807.53041573058,1588995.6649756948,2180767.4316356,152482.57538602594,963045.5891509899,2654234.932074279,0.020639899224880503,0.704085340126603
both_inflows_zero,2065,3603415.133593277,3529914.297938319,73500.83565495825,1510176.1164632312,2093239.0171300462,144686.12668308665,893681.4026064351,2565047.604303756,0.020397548694775062,0.7118379396231055
both_inflows_zero,2066,3440941.4958650223,3371600.5209960244,69340.97486899773,1433883.6316007872,2007057.8642642351,137069.74170107843,830646.475180462,2473225.278983481,0.02015174479203577,0.7187641178891169
