緯度,経度,施設名,所在地,水飲み栓設置場所,営業時間,入場料等,タイプ,稼働停止,備考
35.71746157,139.4703686,上水本町地域センター,小平市上水本町３－１１－１１,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.74149734,139.4944705,大沼地域センター,小平市大沼町２－１７－３３,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.73553009,139.4972235,小平市立大沼図書館・公民館,小平市大沼町７－１－１７,風除室,AM10～PM5（祝休日でない火水はPM7まで）休館日は金曜（祝日の場合も休館）、第三木曜（祝日の場合は開館）、12/28～1/4、特別整理期間,,飲み口型,,
35.7297638,139.4342954,中島地域センター,小平市中島町２６－９,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.73092472,139.484885,なかまちテラス,小平市仲町１４５,１階,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.72258804,139.4625803,小平市民総合体育館,小平市津田町１－１－１,１・２・３階,,,飲み口型,,
35.72087,139.47003,小平市立津田図書館・公民館,小平市津田町３－１１－１,風除室,午前8時30分から午後10時まで,,飲み口型,,
35.72818379,139.4966912,天神地域センター,小平市天神町４－３－１,ロビー,AM10～PM5（祝休日でない火水はPM7まで）休館日は金曜（祝日の場合も休館）、第三木曜（祝日の場合は開館）、12/28～1/4、特別整理期間,,飲み口型,,
35.73473296,139.4891523,美園地域センター,小平市美園町１－１９－２,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.72081321,139.5006692,鈴木地域センター,小平市鈴木町１－４００,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.69392,139.70345,新宿区役所本庁舎,新宿区歌舞伎町１－４－１,４・５・６・７階,開庁日 8:30～17:00 ,,飲み口型,,
35.69920809,139.7180795,若松河田駅（都営大江戸線）,新宿区河田町１０－１０,ホーム,始発から終電まで,有料,飲み口型,,
35.68016735,139.7137771,国立競技場駅（都営大江戸線）,新宿区霞ヶ丘町１０－３,ホーム,始発から終電まで,有料,飲み口型,,
35.69945331,139.7255375,牛込柳町駅（都営大江戸線）,新宿区原町２－３２,ホーム,始発から終電まで,有料,飲み口型,,
35.68814,139.71989,消防防災資料センター,新宿区四谷３－１０,地下１・１・３～６・７・１０階,,,飲み口型,,
35.6923716,139.7226285,曙橋駅（都営新宿線）,新宿区住吉町７－１,ホーム,始発から終電まで,有料,飲み口型,,
35.7138927,139.6862808,中井駅（都営大江戸線）,新宿区上落合２－２０－８,ホーム,始発から終電まで,有料,飲み口型,,
35.69057,139.70596,新宿三丁目駅（都営新宿線）,新宿区新宿３－３－２,ホーム,始発から終電まで,有料,飲み口型,,
35.69395496,139.7055036,新宿区役所第二分庁舎,新宿区新宿５－１８－２１,１・２・３階,開庁日 8:30～17:00,,飲み口型,,
35.6939449,139.7057844,新宿区役所第二分庁舎分館,新宿区新宿５－１８－２１,１・２階,開庁日 8:30～17:00,,飲み口型,,
35.69792604,139.7074067,東新宿駅（都営大江戸線）,新宿区新宿７－２７－３,ホーム,始発から終電まで,有料,飲み口型,,
35.69328637,139.6991367,新宿西口駅（都営大江戸線）,新宿区西新宿１－３－１７,ホーム,始発から終電まで,有料,飲み口型,,
35.68972576,139.6916545,東京都庁第１本庁舎,新宿区西新宿２－８－１,４５階　北側展望室,"9:30～17:00
※毎月第２・４月曜日(祝日の場合は翌平日)は休室日
※南展望室の休室日は21:30まで入室可能",,ボトルディスペンサー型・飲み口型,,
35.68932263,139.6918124,東京都庁第１本庁舎,新宿区西新宿２－８－１,４５階　南側展望室,"9:30～21:30
※毎月第１・３火曜日(祝日の場合は翌平日)は休室日",,ボトルディスペンサー型・飲み口型,,
35.68976047,139.6931723,都議会議事堂,新宿区西新宿２－８－１,1階南側トイレ前・7階南側,"8:00～18:00
※土・日・祝日・年末年始(12/29~1/3)を除く",,飲み口型,,
35.68804573,139.6920761,東京都庁第２本庁舎,新宿区西新宿２－８－１,１・２階,"8:00～18:45
※土・日・祝日・年末年始(12/29~1/3)を除く",,ボトルディスペンサー型・飲み口型,,
35.69056428,139.6926578,都庁前駅（都営大江戸線）,新宿区西新宿２－８－１,ホーム,始発から終電まで,有料,飲み口型,,
35.68987286,139.6845511,西新宿五丁目駅（都営大江戸線）,新宿区西新宿５－２５－９,ホーム,始発から終電まで,有料,飲み口型,,
35.72339542,139.6834746,落合南長崎駅（都営大江戸線）,新宿区西落合３－１－１８,ホーム,始発から終電まで,有料,飲み口型,,
35.70085364,139.7358738,牛込神楽坂駅（都営大江戸線）,新宿区箪笥町１５,ホーム,始発から終電まで,有料,飲み口型,,
35.68752,139.71463,"四谷区民センター
（水道局新宿営業所）",新宿区内藤町８７,３・４階,平日8:30-17:15,,飲み口型,,
35.70535553,139.6412152,阿佐谷地域区民センター,杉並区阿佐谷北１－１－１,1階,"9:00~21:00
定休日：第2火曜日、年末年始（12/28~1/4）",,飲み口型,,
35.71159,139.63338,阿佐谷図書館,杉並区阿佐谷北３－３６－１４,１・２階,"月~土 9:00~20:00 、日・祝日9:00~17:00
定休日：毎月第1・第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,飲み口型,,
35.66820049,139.6436636,永福PA上り,杉並区永福１－５,地下１階トイレ前,24時間営業,有料,飲み口型,,
35.67857,139.63792,永福図書館,杉並区永福３－５１－１７,２階,"9:00~21:00
定休日：毎月第1・第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,ボトルディスペンサー型・飲み口型,,
35.69835,139.61908,荻窪地域区民センター,杉並区荻窪２－３４－２０,地下２階廊下・２階廊下,大規模改修の実施に伴い、令和8年9月30日（予定）まで休館中,,飲み口型,,
35.70175,139.62665,中央図書館,杉並区荻窪３－４０－２３,１階・２階,"月~土 9:00~20:00 、日・祝日9:00~17:00
定休日：毎月第1・第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,飲み口型,,
35.70262178,139.6270193,荻窪体育館,杉並区荻窪３－４７－２,地下１階自動販売機前・１階武道館入口,"9:00~21:00
定休日：毎月第3水曜日、年末年始（12/29~1/3）",,飲み口型,,
35.72102,139.62323,下井草図書館,杉並区下井草３－２６－５,１・２階,月~土 9:00~20:00、日・祝日 9:00~17:00,,飲み口型,,
35.7206743,139.6165213,井草地域区民センター,杉並区下井草５－７－２２,地下１階廊下・１階廊下・２階廊下,"9:00~21:00
定休日：第1・第3木曜日、第3木曜日の前日、年末年始（12/28~1/4）",,飲み口型,,
35.68655152,139.5994498,久我山会館,杉並区久我山３－２３－２０,１階ロビー,"9:00~21:00
定休日：館内整理日　毎月25日",,飲み口型,,
35.69314962,139.5989759,宮前図書館,杉並区宮前５－５－２７,１階,"月~土 9:00~20:00、日・祝日 9:00~17:00
定休日：毎月第1・第3木曜日（祝日の場合は、直後の平日）、年末年始（12月31日から1月4日）、特別整理期間",,飲み口型,,
35.68170014,139.6228265,高井戸図書館,杉並区高井戸東１－２８－１,１・２階,"月~土 9:00~20:00 日・祝日：9:00~17:00
定休日：毎月第1月曜日、第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,飲み口型,,
35.68364387,139.6166232,高井戸地域区民センター,杉並区高井戸東３－７－５,１・３階,"9:00~21:00
定休日：第3月曜日、年末年始（12/28~1/4）",,飲み口型,,
35.69973283,139.6541935,高円寺体育館,杉並区高円寺南２－３６－３１,２階廊下身障者用トイレ前,"9:00~21:00
定休日：年末年始（12/29~1/3）",,飲み口型,,
35.70133853,139.651289,高円寺図書館,杉並区高円寺南２－４０－２４,２階,"9:00~21:00
定休日：毎月第1月曜日、第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,ボトルディスペンサー型・飲み口型,,
35.71557,139.59978,今川図書館,杉並区今川４－１２－１０,１階,"月~土 9:00~21:00 、日・祝日9:00~17:00
定休日：毎月第1・第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,飲み口型,,
35.68563695,139.6421028,松ノ木運動場,杉並区松ノ木１－３－２２,玄関ホール入口,"9:00~21:00
定休日：年末年始（12/28~1/4）",,飲み口型,,
35.72034876,139.6121174,柿木図書館,杉並区上井草１－６－１３,１階,"月~土 9:00~20:00 、日・祝日9:00~17:00
定休日：毎月第1・第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,飲み口型,,
35.72386,139.60193,上井草スポーツセンター,杉並区上井草３－３４－１,地下１階・１階廊下,"9:00~21:00
定休日：毎月第3水曜日、年末年始（12/29~1/3）",,飲み口型,,
35.69497,139.63747,成田図書館,杉並区成田東３－２８－５,１階,"月~土 9:00~20:00、日・祝日 9:00~17:00
定休日：毎月第1・第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,飲み口型,,
35.71828,139.6178,妙正寺体育館,杉並区清水３－２０－１２,地下１階・１階廊下,"9:00~21:00
定休日：毎月第2木曜日、年末年始（12/28~1/4）",,ボトルディスペンサー型・飲み口型,,
35.70779,139.60608,西荻図書館,杉並区西荻北２－３３－９,,"月~土 9:00~20:00、日・祝日 9:00~17:00
定休日：毎月第1・第3木曜日（祝日の場合は、直後の平日）、年末年始（12/31~1/4）、特別整理期間",,飲み口型,,
